System,Category,Memory (MB),Memory Reduction,Recall@10,Search Time (ms),Setup Complexity,Computational Overhead,Domain Versatility,Multi-hop Capability,Implementation Maturity,Composite Score
Memory-Optimized QRAG,Your System,25.47554347826087,2.3,0.7735714398946463,0.29195547103881836,6,1.0,0.85,0.4,8,0.7381255289232114
4-bit Vector Quantization,Memory-Focused,14.6484375,4.0,0.6070241070936959,5.469238758087158,6,1.1,0.85,0.3,7,0.6605227706449058
Late Chunking,Memory-Focused,35.15625,1.6666666666666667,0.639299586908586,10.478401184082031,5,1.3,0.9,0.7,8,0.5283805721656887
ColBERT with Token Pooling,Memory-Focused,46.875,1.25,0.6750363138171022,17.797517776489258,7,1.6,0.85,0.6,9,0.5087755968110937
Self-RAG,Quality-Focused,82.03125,0.7142857142857143,0.6625895265719336,84.4670295715332,9,3.2,0.95,0.9,8,0.4682597987818192
Corrective RAG (CRAG),Quality-Focused,70.3125,0.8333333333333334,0.6797672196346148,57.20549821853638,8,2.8,0.9,0.8,7,0.464449600728237
Adaptive RAG,Quality-Focused,76.171875,0.7692307692307693,0.6426190287671998,38.305044174194336,8,2.1,0.92,0.7,6,0.44395103713193457
Modular RAG,Architectural,64.453125,0.9090909090909091,0.6371230771814176,24.98326301574707,7,1.8,0.95,0.8,7,0.4681523676250611
GraphRAG,Architectural,123.046875,0.47619047619047616,0.68605315994598,60.53903102874756,9,2.5,0.8,0.95,6,0.41882782266977137
Knowledge Augmented Generation (KAG),Architectural,105.46875,0.5555555555555556,0.6923893742863798,87.2679352760315,10,3.0,0.7,0.9,5,0.39970486296979163
RAPTOR,Specialized,93.75,0.625,0.6672385236262399,155.3706407546997,8,4.2,0.85,0.95,7,0.43801306956127956
HyDE,Specialized,64.453125,0.9090909090909091,0.6822019332999562,37.56692409515381,6,2.0,0.88,0.5,8,0.4786645526040992
Dense Passage Retrieval (DPR),Specialized,58.59375,1.0,0.6171248477663356,8.031880855560303,5,1.0,0.8,0.4,10,0.48978123625068115
Cache Augmented Generation (CAG),Contextual,17.578125,3.3333333333333335,0.7072579098166328,1.0538578033447266,4,0.5,0.6,0.8,6,0.6678884311014819
Conversational RAG with Memory,Contextual,82.03125,0.7142857142857143,0.6583261025963978,19.3972110748291,7,1.7,0.85,0.85,7,0.44944594998756976
